Groupname,Num,No1,No2,No3,No4,No5,No6,No7,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No18,No19,No20,No21,No22,No23,No24,No25,No26,No27,No28,No29,No30,No31,No32
FIEVE,5,USA,GBR,CAN,AUS,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZU,3,USA,AUS,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUU,3,USA,GBR,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPDA,5,GBR,AUS,NZL,SGP,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATO,32,ALB,BEL,BGR,CAN,HRV,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,ITA,LVA,LTU,LUX,MNE,NLD,MKD,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,TUR,GBR,USA
EU,27,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,,,,,
TIAR,18,ARG,BHS,BRA,CHL,COL,CRI,DOM,SLV,GTM,HTI,HND,PAN,PRY,PER,TTO,USA,URY,VEN,,,,,,,,,,,,,,
CSTO,6,ARM,BLR,KAZ,KGZ,RUS,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,
RSII,4,RUS,SYR,IRN,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V4,4,CZE,HUN,POL,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,3,NER,MLI,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
