id,type,cn,en,group
TWN,nat,中華民國,Republic of China,
KOR,nat,大韓民國,Republic of Korea,
UKR,nat,烏克蘭,Ukraine,
IND,nat,印度,India,
KOS,nat,科索沃,Kosovo,
ISR,nat,以色列,Israel,
RUS,nat,俄羅斯,Russian Federation,
USA,nat,美國,United States of America,
CHN,nat,中華人民共和國,People's Republic of China,
PRK,nat,朝鮮民主主義人民共和國,Democratic People's Republic of Korea,
PAK,nat,巴基斯坦,Pakistan,
SRB,nat,塞爾維亞,Serbia,
PSE,nat,巴勒斯坦,State of Palestine,
GEO,nat,喬治亞,Georgia,
JPN,nat,日本,Japan,
PHL,nat,菲律賓,Philippines,
FIEVE,org,五眼聯盟,5,
GBR,nat,英國,United Kingdom,
CAN,nat,加拿大,Canada,
AUS,nat,澳洲,Australia,
NZL,nat,紐西蘭,New Zealand,
AZU,org,ANZUS,3,
AUU,org,AUKUS,3,
FPDA,org,五國聯防,5,
SGP,nat,新加坡,Singapore,
MYS,nat,馬來西亞,Malaysia,
NATO,org,北大西洋公約組織,32,
ALB,nat,阿爾巴尼亞,Albania,
BEL,nat,比利時,Belgium,
BGR,nat,保加利亞,Bulgaria,
HRV,nat,克羅埃西亞,Croatia,
CZE,nat,捷克,Czech Republic,
DNK,nat,丹麥,Denmark,
EST,nat,愛沙尼亞,Estonia,
FIN,nat,芬蘭,Finland,
FRA,nat,法國,France,
DEU,nat,德國,Germany,
GRC,nat,希臘,Greece,
HUN,nat,匈牙利,Hungary,
ISL,nat,冰島,Iceland,
ITA,nat,義大利,Italy,
LVA,nat,拉脫維亞,Latvia,
LTU,nat,立陶宛,Lithuania,
LUX,nat,盧森堡,Luxembourg,
MNE,nat,蒙特內哥羅,Montenegro,
NLD,nat,荷蘭,Netherlands,
MKD,nat,北馬其頓,North Macedonia,
NOR,nat,挪威,Norway,
POL,nat,波蘭,Poland,
PRT,nat,葡萄牙,Portugal,
ROU,nat,羅馬尼亞,Romania,
SVK,nat,斯洛伐克,Slovakia,
SVN,nat,斯洛維尼亞,Slovenia,
ESP,nat,西班牙,Spain,
SWE,nat,瑞典,Sweden,
TUR,nat,土耳其,Turkey,
EU,org,歐洲聯盟,27,
AUT,nat,奧地利,Austria,
CYP,nat,賽普勒斯,Cyprus,
IRL,nat,愛爾蘭,Ireland,
MLT,nat,馬爾他,Malta,
TIAR,org,美洲國家間互助條約,18,
ARG,nat,阿根廷,Argentina,
BHS,nat,巴哈馬,The Bahamas,
BRA,nat,巴西,Brazil,
CHL,nat,智利,Chile,
COL,nat,哥倫比亞,Colombia,
CRI,nat,哥斯大黎加,Costa Rica,
DOM,nat,多明尼加,Dominican Republic,
SLV,nat,薩爾瓦多,El Salvador,
GTM,nat,瓜地馬拉,Guatemala,
HTI,nat,海地,Haiti,
HND,nat,宏都拉斯,Honduras,
PAN,nat,巴拿馬,Panama,
PRY,nat,巴拉圭,Paraguay,
PER,nat,秘魯,Peru,
TTO,nat,千里達及托巴哥,Trinidad and Tobago,
URY,nat,烏拉圭,Uruguay,
VEN,nat,委內瑞拉,Venezuela,
CSTO,org,集體安全條約組織,6,
ARM,nat,亞美尼亞,Armenia,
BLR,nat,白俄羅斯,Belarus,
KAZ,nat,哈薩克,Kazakhstan,
KGZ,nat,吉爾吉斯,Kyrgyzstan,
TJK,nat,塔吉克,Tajikistan,
RSII,org,RSII聯盟,4,
SYR,nat,敘利亞,Syria,
IRN,nat,伊朗,Iran,
IRQ,nat,伊拉克,Iraq,
V4,org,維謝格拉德集團,4,
AES,org,薩赫勒國家聯盟,3,
NER,nat,尼日,Niger,
MLI,nat,馬利,Mali,
BFA,nat,布吉納法索,Burkina Faso,
